function,scale,data,algorithm,seed,final_dist_y,final_dist_x,steps
Sphere,raw,clean,random,37,0.6730409689981013,0.8203907416579622,
Sphere,raw,clean,random,38,0.40628704051360864,0.6374064955062889,
Sphere,raw,clean,random,39,0.15502049787177133,0.3937264251631726,
Sphere,raw,clean,random,40,0.2673423420459733,0.5170515854786379,
Sphere,raw,clean,random,41,0.8682539395842302,0.931801448584531,
Sphere,raw,clean,random,42,0.026436008995089022,0.16259154035523812,
Sphere,raw,clean,random,43,0.536740492850646,0.7326257522436991,
Sphere,raw,clean,random,44,0.6879007790181282,0.8293978412186327,
Sphere,raw,clean,random,45,0.309916742058081,0.556701663423131,
Sphere,raw,clean,random,46,0.23480041644139493,0.4845620872926347,
Sphere,raw,clean,random,47,0.025238191487391336,0.15886532500011238,
Sphere,raw,clean,random,48,0.8854271384696722,0.940971380260671,
Sphere,raw,clean,random,49,1.131509942120248,1.0637245612094552,
Sphere,raw,clean,tpe,0,0.04377592736940173,0.20922697572110946,
Sphere,raw,clean,tpe,1,0.0003882205386719547,0.019703312885704136,77.0
Sphere,raw,clean,tpe,2,0.002258208729882923,0.047520613736387315,
Sphere,raw,clean,tpe,3,0.00031230749196193647,0.01767222374128215,42.0
Sphere,raw,clean,tpe,4,0.1458685094777942,0.38192736152021656,
Sphere,raw,clean,tpe,5,0.0027753294053668286,0.05268139524886208,
Sphere,raw,clean,tpe,6,0.0002976768143300103,0.017253313140669833,60.0
Sphere,raw,clean,tpe,7,0.00020422203732502705,0.014290627604308603,46.0
Sphere,raw,clean,tpe,8,0.0001041940513248084,0.010207548742220554,40.0
Sphere,raw,clean,tpe,9,0.08305937866194929,0.28820024056539106,
Sphere,raw,clean,tpe,10,0.0001060394411201906,0.010297545392965771,53.0
Sphere,raw,clean,tpe,11,0.0027222722427661496,0.05217539882709235,
Sphere,raw,clean,tpe,12,9.160436689200588e-05,0.009571017024956434,39.0
Sphere,raw,clean,tpe,13,0.1630488036250606,0.40379302077309437,
Sphere,raw,clean,tpe,14,0.05274729674021214,0.22966779648050822,
Sphere,raw,clean,tpe,15,1.4388698161776738,1.1995289976393542,
Sphere,raw,clean,tpe,16,0.004723713463359765,0.06872927661018821,
Sphere,raw,clean,tpe,17,0.00018998555864298958,0.013783524899059369,23.0
Sphere,raw,clean,tpe,18,0.28633851368454966,0.5351060770394499,
Sphere,raw,clean,tpe,19,0.003331596589211167,0.05771998431402391,
Sphere,raw,clean,tpe,20,0.08539609472321759,0.2922261020566397,
Sphere,raw,clean,tpe,21,0.0027826897509079834,0.05275120615595423,
Sphere,raw,clean,tpe,22,0.17249265686523324,0.4153223529563913,
Sphere,raw,clean,tpe,23,0.0497987416853682,0.22315631670505812,
Sphere,raw,clean,tpe,24,0.00022777410170608705,0.015092186776808954,70.0
Sphere,raw,clean,tpe,25,1.3349864304886008e-05,0.0036537466120252523,33.0
Sphere,raw,clean,tpe,26,0.008069823539847728,0.08983219656586233,
Sphere,raw,clean,tpe,27,2.7985536427471067e-05,0.005290135766449767,39.0
Sphere,raw,clean,tpe,28,0.035728798069309405,0.18902062868721342,
Sphere,raw,clean,tpe,29,0.0003804424559000076,0.01950493414241657,61.0
Sphere,raw,clean,tpe,30,0.10289246577999814,0.32076855484912814,
Sphere,raw,clean,tpe,31,0.0036288180182501226,0.0602396714653236,
Sphere,raw,clean,tpe,32,6.934180018930349e-05,0.008327172400599346,49.0
Sphere,raw,clean,tpe,33,0.000234457466513006,0.015312004000554793,37.0
Sphere,raw,clean,tpe,34,0.0023442664790276797,0.048417625706220664,
Sphere,raw,clean,tpe,35,0.17562853255059005,0.4190805800208237,
Sphere,raw,clean,tpe,36,1.530727802152467e-05,0.003912451663794029,51.0
Sphere,raw,clean,tpe,37,0.043209795493074826,0.20786965986664535,
Sphere,raw,clean,tpe,38,6.278976941807877e-05,0.007923999584684415,40.0
Sphere,raw,clean,tpe,39,2.627288567340043e-06,0.0016208912879462469,49.0
Sphere,raw,clean,tpe,40,9.654651056475986e-05,0.009825808392430612,33.0
Sphere,raw,clean,tpe,41,7.57111984719141e-05,0.00870121821769309,39.0
Sphere,raw,clean,tpe,42,0.17908371164666476,0.4231828347731802,
Sphere,raw,clean,tpe,43,9.843693579264355e-05,0.00992153898307332,35.0
Sphere,raw,clean,tpe,44,0.276498257911888,0.5258310164985401,
Sphere,raw,clean,tpe,45,8.119127770386619e-05,0.009010620272981554,49.0
Sphere,raw,clean,tpe,46,0.0019867831004748994,0.04457334517932101,
Sphere,raw,clean,tpe,47,0.09541847117937757,0.3088988041080405,
